,Detail_Short,Floor Size (in sqft),Last_Sold_Date,Last_Sold_Price,Locality,Lot_size,Number of Rooms,Postal_Code,Region,Street,Title,Type,Year_build
0,"52 Chicory Ln , Pennington, NJ 08534-5423 is currently not for sale. The 2,731 sq. ft. single-family home is a 5 bed, 3.0 bath property. This home was built in 1993 and last sold on 7/9/2021 for $790,000. View more property details, sales history and Zestimate data on Zillow.","2,800",07/09/21,"$790,000",Pennington,0.36 Acres,4.0,8534,NJ,50 Chicory Ln,"52 Chicory Ln, Pennington, NJ 08534 | Zillow",Single Family Residence,1993
1,"5 Rockwell Green Dr , Pennington, NJ 08534 is currently not for sale. The sq. ft. single-family home is a 5 bed, 5.0 bath property. This home was built in 2021 and last sold on 7/8/2021 for $999,999. View more property details, sales history and Zestimate data on Zillow.","3,758",07/08/21,"$999,999",Pennington,0.46 Acres,5.0,8534,NJ,1 Rockwell Green Dr,"5 Rockwell Green Dr, Pennington, NJ 08534 | Zillow",Single Family Residence,2021
2,"305 Deer Run Ct , Pennington, NJ 08534-1148 is currently not for sale. The 1,908 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 1994 and last sold on 7/8/2021 for $345,000. View more property details, sales history and Zestimate data on Zillow.","1,908",07/08/21,"$345,000",Pennington,"1,742 sqft",,8534,NJ,303 Deer Run Ct,"305 Deer Run Ct, Pennington, NJ 08534 | Zillow",Townhouse,1994
3,"13 Cannon Dr # 1203, Pennington, NJ 08534 is currently not for sale. The 2,269 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 2020 and last sold on 7/6/2021 for $484,267. View more property details, sales history and Zestimate data on Zillow.","2,330",07/06/21,"$484,267",Pennington,No Data,,8534,NJ,19 Tucker Way,"13 Cannon Dr #1203, Pennington, NJ 08534 | Zillow",Townhouse,2020
4,"324 Hale St , Pennington, NJ 08534-2705 is currently not for sale. The sq. ft. single-family home is a 4 bed, 5.0 bath property. This home was built in 2012 and last sold on 7/6/2021 for $950,000. View more property details, sales history and Zestimate data on Zillow.","3,582",07/06/21,"$950,000",Pennington,0.28 Acres,,8534,NJ,326 Hale St,"324 Hale St, Pennington, NJ 08534 | Zillow",Single Family Residence,2012
5,"402 Pebble Creek Ct , Pennington, NJ 08534-1945 is currently not for sale. The 2,052 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 1994 and last sold on 7/2/2021 for $445,000. View more property details, sales history and Zestimate data on Zillow.","1,908",07/02/21,"$445,000",Pennington,No Data,3.0,8534,NJ,404 Pebble Creek Ct,"402 Pebble Creek Ct, Pennington, NJ 08534 | Zillow",Townhouse,1994
6,"15 Miller Cir , Pennington, NJ 08534-5148 is currently not for sale. The 1,783 sq. ft. townhouse is a 3 bed, 3.0 bath unit. This townhouse was built in 2003 and last sold on 7/1/2021 for $410,000. View more property details, sales history and Zestimate data on Zillow.","2,134",07/01/21,"$410,000",Pennington,No Data,3.0,8534,NJ,17 Miller Cir,"15 Miller Cir, Pennington, NJ 08534 | Zillow",Townhouse,2003
7,"487 Federal City Rd , Pennington, NJ 08534-4210 is currently not for sale. The 1,896 sq. ft. single-family home is a 3 bed, 3.0 bath property. This home was built in 1800 and last sold on 7/1/2021 for $400,000. View more property details, sales history and Zestimate data on Zillow.","2,015",07/01/21,"$400,000",Pennington,0.69 Acres,,8534,NJ,477 Federal City Rd,"487 Federal City Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1800
8,"Zillow has 21 photos of this $318000 4 bed, bath, 1683 sqft single family home located at 18 Crest Ave built in 1956. MLS #.","1,348",06/30/21,"$318,000",Pennington,,,8534,NJ,20 Crest Ave,"18 Crest Ave, Pennington, NJ 08534 | Zillow",Duplex,1956
9,"204 Sandpiper Ct , Pennington, NJ 08534-5220 is currently not for sale. The 1,908 sq. ft. townhouse is a 3 bed, 2.5 bath unit. This townhouse was built in 1994 and last sold on 6/9/2021 for $335,000. View more property details, sales history and Zestimate data on Zillow.","1,463",06/09/21,"$335,000",Pennington,No Data,2.0,8534,NJ,206 Sandpiper Ct,"204 Sandpiper Ct, Pennington, NJ 08534 | Zillow",Townhouse,1994
10,"214 Ingleside Ave , Pennington, NJ 08534-3103 is currently not for sale. The sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in and last sold on 6/7/2021 for $475,000. View more property details, sales history and Zestimate data on Zillow.",,06/07/21,"$475,000",Pennington,1.46 Acres,,8534,NJ,212 Ingleside Ave,"214 Ingleside Ave, Pennington, NJ 08534 | Zillow",Single Family Residence,No Data
11,"327 Burd St , Pennington, NJ 08534-2802 is currently not for sale. The sq. ft. single-family home is a 4 bed, 2.0 bath property. This home was built in 1950 and last sold on 6/7/2021 for $580,000. View more property details, sales history and Zestimate data on Zillow.","1,478",06/07/21,"$580,000",Pennington,"9,147 sqft",,8534,NJ,325 Burd St,"327 Burd St, Pennington, NJ 08534 | Zillow",Single Family Residence,1950
12,"600 Scotch Rd , Pennington, NJ 08534-4110 is currently not for sale. The 2,598 sq. ft. single-family home is a 3 bed, 3.0 bath property. This home was built in 1985 and last sold on 6/7/2021 for $575,000. View more property details, sales history and Zestimate data on Zillow.","3,419",06/07/21,"$575,000",Pennington,2.25 Acres,,8534,NJ,602 Scotch Rd,"600 Scotch Rd, Pennington, NJ 08534 | Zillow",Single Family Residence,1985
13,"1455 Trenton Harb Rd , Pennington, NJ 08534 is currently not for sale. The 1,848 sq. ft. single-family home is a 3 bed, 2.0 bath property. This home was built in 1890 and last sold on 6/4/2021 for $457,500. View more property details, sales history and Zestimate data on Zillow.","1,762",06/04/21,"$457,500",Pennington,1.00 Acres,3.0,8534,NJ,1455 Trenton Harbourton Rd,"1455 Trenton Harb Rd, Pennington, NJ 08534 | Zillow",SingleFamily,1890
14,"80 Woolsey Ct , Pennington, NJ 08534-1428 is currently not for sale. The sq. ft. condo is a 2 bed, 2.0 bath unit. This condo was built in 1995 and last sold on 6/4/2021 for $330,000. View more property details, sales history and Zestimate data on Zillow.",,06/04/21,"$330,000",Pennington,,2.0,8534,NJ,88 Woolsey Ct,"80 Woolsey Ct, Pennington, NJ 08534 | Zillow",Condominium,1995
